采样日期	采样点	TDS(ppm)	盐度(ppt)	pH	电导率(µS/cm)	温度(℃)
2026-5.16	黎照湖	394	0.28	8.53	560	27.8
2026-5.16	后山水池	283	0.20	7.99	400	29.5
2026-5.16	菜根谭	362	0.27	9.11	513	31.3
2026-5.16	梦川	297	0.21	8.83	424	28.4
2026-5.16	香雪海	366	0.26	8.33	514	30.4
2026-5.23	黎照湖	446	0.31	7.99	631	29.4
2026-5.23	后山水池	289	0.21	7.91	408	28.0
2026-5.23	菜根谭	322	0.23	9.06	444	28.6
2026-5.23	梦川	346	0.24	8.68	490	30.5
2026-5.23	香雪海	398	0.28	7.97	560	30.0
2026-5.31	黎照湖	465	0.34	8.07	661	29.3
2026-5.31	后山水池	340	0.24	7.57	533	29.3
2026-5.31	菜根谭	354	0.25	8.67	479	29.2
2026-5.31	梦川	336	0.24	8.59	484	28.6
2026-5.31	香雪海	336	0.24	8.55	516	29.0
